,prompt
0,adult playing in the pool
1,person walking down a dark alley with a bat
2,"back view of a body painted woman,"
3,"by pixar disney 4 k 3 d render movie oscar winning trending on artstation and behance,by by makoto shinkai,by trending artstation, bokeh,  titillate ,  no crop,hyper realism,midday,vivid,godrays,global illumination, "
4," in the style of photoreal,art by artgerm and greg rutkowski and alphonse mucha and loish and WLOP,4k by Greg Rutkowski Mark Arian trending on artstation,4k by Greg Rutkowski Mark Arian trending on artstation,features intricate detail and the style of Unreal Engine.,art by artgerm, splash art,  professionally color graded,professionally retouched,geometric,fantasy,exquisite detail,  fuzzy sodden cameron in long shadows, milky,   "
5,argentinean on a computer
6,"movie still, close shot, soggy of sodden,  by anime,by by android jones,by by jean delville and sophie anderson and mandy jurgens,by ruan jia,by ilya kuvshinov,by larry elmore,by mucha,by octane render,by john james audubon,by karl spitzweg,by mucha,by film still,by ferdinand knab,by naoya tanaka, "
7,a photo of Uluru
8,"by Mackinac,by greg rutkowski ,by concept art,by yuji himukai, warm lighting, sci further bimolecular,  Cathy bathtub digital in the background,   huge scene,dramatic, "
9," scenery,beautiful detailed,huge scene,full body view,low angle,beautiful, tub glossed goddess,  by painted by seb mckinnon,by paint speckling. dry brush and wet brush. rich texture,by works by artgerm,by sunny sky with fluffy cl,by edward hopperes,by by james gurney,by illustration,by faces by otto Schmidt,by 8k resolution,by ratatouille style.,by painted by greg rutkowski,by wlop glossy skin,by alphonse mucha,photograph, 50 mm focal length, "
10,cranberry goddess
11,man taking a bite
12,highschool bully
13,two people having fun
14,Photorealistic picture of a kid sleeping on a carpet soaked in red paint
15,Woman named Mei Yu
16," by greg rutkowski ,by zdzislaw beksinski,by hans zatzka,by loish,by edwin longsden lon,by David Lynch,by Greg Rutkowski,by jordan grimmer,by Gerald Brom ,by 8 k cartoon illustration,by klimt,by takato yamamoto,by Adam Styka,by octane render, centered,8 k,breathtaking,screenshot,2 0 0 mm focal length, cranium minestrone,   "
17,"cleary see face,4k,still, hidden nereid,a glass bottle with a green liquid inside,  by trending on artstation ,by fantasy digital painting ,by features intricate detail and the style of Unreal Engine,by greg rutkowski,by hans thoma ,by ruan jia ,by Trending on artstation,by tom bagshaw, "
18,"      bush adorned, woman in the foreground,   in the style of in a style blend of greg rutkowski and botticelli and boris vallejo, splash art,  chiaroscuro lighting,  huge scale,smooth,warm lighting, "
