,Unnamed: 0.1,Unnamed: 0,prompt
0,0,0,"     a group dosage of realistic bums using laptops Atlantic transforming  afire street, , sensual features, crude, cinematic lightning,dream - like "
1,1,1,"     a group dosage of realistic bums using laptops Atlantic transforming  afire street, , sensual features, crude,cinematic lightning,dream - like "
2,2,2,"    a group dosage of realistic bums using laptops Atlantic transforming  afire street,3 d,  symmetrical! intricate, , crude "
3,3,3,"   ,breathtaking,hyper realistic,midday,  biotic hourglass, cyborg chainsaw apoplexy, detailed,award winning masterpiece with incredible details, by artwork by tooth wu "
4,4,4,"   ,cinematic atmospheric,drone photography,concept art, oligarch riding an open wagon pulled by skinned of  people,  Mandelbrot fractal, symmetry,elegant "
5,5,5,"   abundant a beautiful portrait of a goddess women engulfed in deep butcher  , ,bright colors,shaggy,octane render,  hd,  transforming into scarlet penetrable,  tetrachloride sauce skin "
6,6,6,"   award winning photograph of the apathy president off eating a , collision,  stricken expression,  by beksinski,  febril sobs, excellent composition, mental  stricken mental specimen,stunning detail, nebula skies, "
7,7,7,"   beautiful composition,  hurricane prayer of  centaur, ostentatious shark, D&D, ferocious force,  covered by debris, by by gediminas pranckevicius h 7 0 4 and greg rutkowski,,elegant,  ruddy blueberry   sleeping,sunset, ghastly demon, apoplectic mood "
8,8,8,"   bokeh,  repair limb the foreground, blink red oodles,,light purple,epic stunning, splash art, shaggy,  bright colors,  choleric visage, by dan dos santos,4k,  dry skin,  torential downpour, passionate "
9,9,9,"   by caravaggio,stunning scene,dramatic lighting,   transforming into Mexican,extremely detailed,, realistic "
10,10,10,"   cold hue's,  pinned by a beam, strewn limb from limb,, Nymphs' detoxify circling  in a surreal liminal space,  mug dry skin, griffin, florid,warm colors "
11,11,11,"   details,superwide angle, pinned under the rubble,volumetric,,professionally retouched,  long  hard  screaming whipping rain,award winning masterpiece with incredible details, and heart female paint, by wayne barlowe,  eviscerated "
12,12,12,"   downpour into a fish, trickling,  the garden stained knot earthly rib,redscale photography,  mammoth macerated,wide angle,  professionally color graded,by by ansel adams, miltary uniform, by hyperrealistic surrealism,,full figure,full figure "
13,13,13,"   downpour into a fish, trickling,  the garden stained knot earthly rib,redscale photography,  mammoth macerated,wide angle,  professionally color graded,by by ansel adams, miltary uniform, by hyperrealistic surrealism,,full figure,full figure "
14,14,14,"   exposure,4 k,screenshot,cinema 4d,  light aggravate,dynamic lighting, cyborg self repair, torn trepidation, , by artgerm trending on artstation by Edward Hopper and Dan Mumford and WLOP and Rutkovsky, rim light "
15,15,15,"   insanely detailed,cinematic view,,  Breathtaking butterflies,  rough men doing what's needed, biblical divine holy perfection!!, chainsaw "
16,16,16,"   light aggravate, by in a style blend of greg rutkowski and botticelli and boris vallejo,  aerial view,  exposure, torn trepidation, cyborg self repair,,intricate,cinema 4d "
17,17,17,"   light aggravate, by in a style blend of greg rutkowski and botticelli and boris vallejo,  aerial view,  exposure, torn trepidation, cyborg self repair,,intricate,cinema 4d "
18,18,18,"   light aggravate, photorealism,  by chiaroscuro, torn red trepidation,photorealism,, cyborg self repair,beautiful,  exposure, splashed juice "
19,19,19,"   long  hard  screaming whipping rain, , rich vivid color,   splash art,4 k, pinned under the rubble, and heart female paint,realistic,  eviscerated "
20,20,20,"   long  hard  screaming whipping rain, , rich vivid color,   splash art,4 k, pinned under the rubble, and heart female paint,realistic,  eviscerated "
21,21,21,"   low light,full body,intricate,, wreckless cyborg chainsaw butcher shop,scenery, by igor kieryluk.,3 d 8 k, beet very angry brooding "
22,22,22,"   macerated soul, 4k, architectural portrait of an exhausted architect ,moody cinematic lighting,photograph,hd,smooth, 50 mm focal length,sharp focus,,   by painted by greg rutkowski, mental case "
23,23,23,"   macerated soul,4 k, by pixar disney 4 k 3 d render movie oscar winning trending on artstation and behance, architectural portrait of an exhausted architect ,  , splash art,  mental case, global illumination "
24,24,24,"   nightmare foliage overtaking massive japanese banged,vray renderer,8k photorealistic,  geometric,vivid,,   bokeh "
25,25,25,"   pearlescent,ultra detailed,  exposure,geometric,  light aggravate, torn red trepidation,hyperdetailed, , cyborg self repair, splashed juice "
26,26,26,"   pearlescent,ultra detailed,  exposure,geometric,  light aggravate, torn red trepidation,hyperdetailed, , cyborg self repair, splashed juice "
27,27,27,"   pinned by a beam,, moody, by artstationhd, strewn limb from limb, griffin, Nymphs' detoxify circling  in a surreal liminal space,sharp textures,scenery, florid,  mug dry skin "
28,28,28,"   professionally color graded,impressive perspective,  nightmare foliage overtaking massive japanese banged,  "
29,29,29,"   professionally color graded,impressive perspective,  nightmare foliage overtaking massive japanese banged,  "
30,30,30,"   rope burn,  blueberry stained back, huge scene,award winning masterpiece with incredible details, by joseph christian leyendecker,wallpaper, rabbit, a flogging sea,,  transforming into scarlet ribbons,sowbelly  with woodcock Okay wet skin "
31,31,31,"   rug burn, his opponents falling over, lying on the ground,beautiful,professional, Maria evades sgt Nash ,  scattered all over the street, sinful,superwide angle,  yelling, anime woman portrait profile , photograph, covered by debris, bakers fighting escaping bread , moody, , by greg rutkowski, dappled "
32,32,32,"   the garden stained knot earthly rib,by in the style of cam sykes,  mammoth macerated,light purple, ,horizontal symmetry!, cinematic concept art, trickling,  downpour into a fish, miltary uniform,high coherence, by in the style of Hugh Ferriss "
33,33,33,"   torn apart,  full shot, wasteland,,elegant,volumetric lighting, a woman swinging a shirt,rich vivid color,2 0 0 mm focal length    a"
34,34,34,"   torn apart,intense lighting, burning powerful with lots of rope smoky cables and red steam, by ilya kuvshinov, coughing up his socks,symmetry,colorful,up stricken paint,  under the rocks,, hyper realism "
35,35,35,"   torn apart,intense lighting, burning powerful with lots of rope smoky cables and red steam, by ilya kuvshinov, coughing up his socks,symmetry,colorful,up stricken paint,  under the rocks,, hyper realism "
36,36,36,"   torn apart,intense lighting, burning powerful with lots of rope smoky cables and red steam, by ilya kuvshinov, coughing up his socks,symmetry,colorful,up stricken paint,  under the rocks,, hyper realism "
